0;0;0;0;land;false;unknown;0
1;215;233;130;land;true;hills;1
2;251;160;190;land;false;forest;1
3;241;244;44;land;false;forest;1
4;233;143;213;land;false;plains;1
5;246;158;150;land;true;plains;1
6;222;137;195;land;false;plains;1
7;124;249;158;land;false;plains;1
8;226;234;236;land;false;plains;1
9;180;195;129;land;false;plains;1
10;208;233;212;land;false;forest;1
11;192;236;159;land;true;plains;1
12;236;91;232;land;true;urban;1
13;171;222;142;land;true;plains;1
14;196;186;163;land;true;plains;1
15;168;163;245;land;true;plains;1
16;70;211;248;land;false;plains;1
17;214;114;250;land;true;plains;1
18;227;193;147;land;true;plains;1
19;198;124;219;land;false;forest;1
20;218;131;226;land;true;plains;1
21;32;254;247;land;false;hills;1
22;83;227;234;land;false;plains;1
23;199;171;163;land;true;plains;1
24;191;159;173;land;true;plains;1
25;156;233;193;land;true;hills;1
26;242;76;215;land;false;plains;1
27;210;225;181;land;false;hills;1
28;252;134;154;land;true;plains;1
29;115;218;203;land;true;plains;1
30;65;227;254;land;false;plains;1
31;110;243;251;land;false;plains;1
32;222;225;187;land;true;desert;1
33;167;218;173;land;true;plains;1
34;206;168;155;land;false;desert;1
35;178;153;227;land;true;plains;1
36;137;247;195;land;false;desert;1
37;223;246;203;land;true;plains;1
38;239;129;171;land;false;plains;1
39;169;128;233;land;false;jungle;1
40;247;166;95;land;true;plains;1
41;68;245;223;land;false;plains;1
42;119;231;175;land;false;plains;1
43;123;249;152;land;false;plains;1
44;235;207;99;land;false;plains;1
45;224;153;186;land;false;plains;1
46;200;215;170;land;false;forest;1
47;152;162;231;land;false;plains;1
48;150;249;108;land;false;plains;1
49;207;187;110;land;true;plains;1
50;253;196;189;land;true;plains;1
51;229;174;103;land;true;hills;1
52;198;184;250;land;false;hills;1
53;183;139;196;land;false;forest;1
54;133;179;244;land;true;plains;1
55;239;178;127;land;false;plains;1
56;233;241;244;land;false;forest;1
57;208;171;146;land;true;hills;1
58;171;137;254;land;false;plains;1
59;203;236;189;land;true;plains;1
60;206;231;208;land;true;urban;1
61;233;158;115;land;false;plains;1
62;240;179;149;land;false;mountain;1
63;110;232;181;land;false;marsh;1
64;243;177;241;land;false;plains;1
65;251;217;83;land;false;plains;1
66;218;68;234;land;false;hills;1
67;85;221;242;land;false;mountain;1
68;158;222;178;land;true;plains;1
69;149;207;218;land;false;plains;1
70;223;154;198;land;false;marsh;1
71;152;161;211;land;false;hills;1
72;116;226;236;land;false;plains;1
73;117;221;237;land;false;jungle;1
74;182;81;244;land;false;plains;1
75;233;196;111;land;true;plains;1
76;194;121;217;land;true;plains;1
77;161;169;227;land;false;plains;1
78;199;158;199;land;true;desert;1
79;253;203;182;land;false;urban;1
80;246;241;187;land;false;hills;1
81;135;152;251;land;false;hills;1
82;81;228;216;land;false;hills;1
83;216;215;95;land;false;plains;1
84;251;233;66;land;true;jungle;1
85;239;216;61;land;false;plains;1
86;187;145;216;land;false;hills;1
87;89;207;236;land;false;plains;1
88;241;115;195;land;false;plains;1
89;79;241;181;land;false;plains;1
90;202;189;242;land;true;urban;1
91;152;217;223;land;true;plains;1
92;232;33;246;land;false;forest;1
93;168;178;182;land;false;hills;1
94;252;116;235;land;true;plains;1
95;205;107;236;land;false;urban;1
96;76;223;230;land;true;plains;1
97;210;195;181;land;false;mountain;1
98;228;105;207;land;true;urban;1
99;165;172;204;land;false;desert;1
100;121;225;162;land;true;hills;1
101;195;105;208;land;false;forest;1
102;160;147;207;land;true;plains;1
103;209;145;164;land;true;plains;1
104;231;124;191;land;true;plains;1
105;224;162;237;land;false;hills;1
106;222;128;254;land;false;plains;1
107;60;251;196;land;false;hills;1
108;243;214;67;land;false;hills;1
109;225;243;239;land;false;plains;1
110;246;141;247;land;false;plains;1
111;231;251;202;land;false;plains;1
112;254;95;207;land;false;plains;1
113;209;139;224;land;false;marsh;1
114;232;200;137;land;false;forest;1
115;253;109;218;land;false;plains;1
116;174;208;195;land;false;forest;1
117;197;87;225;land;false;plains;1
118;121;236;233;land;false;plains;1
119;165;188;160;land;false;desert;1
120;173;144;195;land;true;plains;1
121;250;129;140;land;false;plains;1
122;120;243;147;land;false;plains;1
123;182;83;236;land;true;plains;1
124;242;83;249;land;false;forest;1
125;230;131;226;land;false;hills;1
126;201;177;235;land;false;plains;1
127;221;199;241;land;false;plains;1
128;178;100;253;land;false;forest;1
129;60;241;237;land;false;plains;1
130;225;210;234;land;false;plains;1
131;234;185;137;land;false;forest;1
132;210;197;253;land;false;plains;1
133;182;185;247;land;true;desert;1
134;244;130;212;land;false;urban;1
135;241;86;249;land;true;jungle;1
136;190;176;145;land;false;plains;1
137;248;36;247;land;true;plains;1
